query_id,recip_rank,P_5,P_10,P_20,recall_5,recall_10,recall_20,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20
10000138,0.05,0.0,0.0,0.05,0.0,0.0,0.16666666666666666,0.0,0.0,0.06889356673757306
10002326,0.3333333333333333,0.4,0.2,0.1,1.0,1.0,1.0,0.5706417189553201,0.5706417189553201,0.5706417189553201
10008710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10020508,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10024927,0.14285714285714285,0.0,0.1,0.1,0.0,0.5,1.0,0.0,0.20438239758848611,0.3462512994544803
10033029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10033212,0.5,0.2,0.1,0.05,0.5,0.5,0.5,0.38685280723454163,0.38685280723454163,0.38685280723454163
10044751,0.25,0.2,0.1,0.05,0.5,0.5,0.5,0.2640681225725909,0.2640681225725909,0.2640681225725909
10049307,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10050282,0.5,0.4,0.2,0.1,0.5,0.5,0.5,0.4144299250118475,0.4144299250118475,0.4144299250118475
10062873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10062975,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10069135,0.14285714285714285,0.0,0.1,0.05,0.0,0.5,0.5,0.0,0.20438239758848611,0.20438239758848611
10083399,0.3333333333333333,0.2,0.1,0.05,0.5,0.5,0.5,0.3065735963827292,0.3065735963827292,0.3065735963827292
10084165,0.1,0.0,0.1,0.05,0.0,0.5,0.5,0.0,0.17723928678404774,0.17723928678404774
10084185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10084204,0.1,0.0,0.1,0.05,0.0,0.2,0.2,0.0,0.09803928583135704,0.09803928583135704
10093183,0.25,0.2,0.2,0.1,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.20210734650054757,0.34337431936037655,0.34337431936037655
10116152,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10118502,0.125,0.0,0.1,0.05,0.0,0.5,0.5,0.0,0.19342640361727081,0.19342640361727081
10122044,0.5,0.4,0.2,0.1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5307212739772434,0.5307212739772434,0.5307212739772434
10128511,0.5,0.2,0.1,0.05,0.5,0.5,0.5,0.38685280723454163,0.38685280723454163,0.38685280723454163
10128516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10128666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10135051,0.25,0.2,0.2,0.1,0.5,1.0,1.0,0.2640681225725909,0.45749452618986164,0.45749452618986164
10141564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10141569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10153476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10153651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10158148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10160344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10164245,1.0,0.2,0.1,0.05,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3391602052736161,0.27487633291429087,0.27487633291429087
10170811,0.3333333333333333,0.4,0.2,0.1,1.0,1.0,1.0,0.5706417189553201,0.5706417189553201,0.5706417189553201
10181587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10199643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10199838,0.08333333333333333,0.0,0.0,0.05,0.0,0.0,0.25,0.0,0.0,0.10549558423511038
10211452,0.05555555555555555,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.14434031438272124
10223649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10229117,0.16666666666666666,0.0,0.2,0.1,0.0,1.0,1.0,0.0,0.4227898344066503,0.4227898344066503
10230083,0.0625,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.15000679310833784
10230128,0.3333333333333333,0.4,0.2,0.1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4367467095119258,0.4367467095119258,0.4367467095119258
10242001,0.1,0.0,0.1,0.05,0.0,0.5,0.5,0.0,0.17723928678404774,0.17723928678404774
10242093,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10243202,0.14285714285714285,0.0,0.1,0.05,0.0,0.5,0.5,0.0,0.20438239758848611,0.20438239758848611
10243241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10253051,0.125,0.0,0.1,0.05,0.0,0.5,0.5,0.0,0.19342640361727081,0.19342640361727081
10268956,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10270141,0.3333333333333333,0.4,0.2,0.1,1.0,1.0,1.0,0.5706417189553201,0.5706417189553201,0.5706417189553201
10283804,0.25,0.2,0.2,0.1,0.25,0.5,0.5,0.16812753627111746,0.2856436410275446,0.2856436410275446
10290855,0.3333333333333333,0.2,0.1,0.05,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.23463936301137822,0.23463936301137822
10290895,0.125,0.0,0.2,0.1,0.0,0.6666666666666666,0.6666666666666666,0.0,0.2893079283427616,0.2893079283427616
10296837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10308587,0.5,0.4,0.2,0.1,1.0,1.0,1.0,0.6240505200038379,0.6240505200038379,0.6240505200038379
10312501,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10316047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10320032,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10320927,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10322646,0.125,0.0,0.1,0.1,0.0,0.3333333333333333,0.6666666666666666,0.0,0.1480409554829326,0.27129679467565615
10325211,0.5,0.2,0.1,0.05,0.5,0.5,0.5,0.38685280723454163,0.38685280723454163,0.38685280723454163
10326142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10326166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10330787,0.05,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.1395953738647505
10333164,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10340484,0.0625,0.0,0.0,0.05,0.0,0.0,0.3333333333333333,0.0,0.0,0.11480929472601784
10343964,0.05,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.1395953738647505
10345620,0.5,0.2,0.1,0.05,0.5,0.5,0.5,0.38685280723454163,0.38685280723454163,0.38685280723454163
10361404,0.16666666666666666,0.0,0.1,0.05,0.0,0.5,0.5,0.0,0.21840743681816419,0.21840743681816419
10367188,0.5,0.2,0.1,0.05,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2960819109658652,0.2960819109658652
10367198,0.2,0.2,0.1,0.05,0.5,0.5,0.5,0.23719771276929622,0.23719771276929622,0.23719771276929622
10367201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10387801,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10396355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10399455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10403889,0.3333333333333333,0.2,0.1,0.05,0.5,0.5,0.5,0.3065735963827292,0.3065735963827292,0.3065735963827292
10403931,0.125,0.0,0.2,0.1,0.0,0.6666666666666666,0.6666666666666666,0.0,0.2893079283427616,0.2893079283427616
10410113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10411260,0.5,0.2,0.1,0.05,0.5,0.5,0.5,0.38685280723454163,0.38685280723454163,0.38685280723454163
10411310,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10424784,0.058823529411764705,0.0,0.0,0.05,0.0,0.0,0.3333333333333333,0.0,0.0,0.1125388887954676
10445317,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10445379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10445645,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10446271,0.2,0.2,0.2,0.15,0.3333333333333333,0.6666666666666666,1.0,0.18154179253735267,0.34870224750355494,0.46351154222957275
10446873,0.1111111111111111,0.0,0.1,0.1,0.0,0.3333333333333333,0.6666666666666666,0.0,0.14126697285982898,0.2498478459608625
10467541,0.14285714285714285,0.0,0.1,0.05,0.0,0.3333333333333333,0.3333333333333333,0.0,0.15642624200758548,0.15642624200758548
10476101,0.5,0.4,0.2,0.15,0.4,0.4,0.6,0.38356636737133565,0.38356636737133565,0.47264663758957004
10490796,0.1111111111111111,0.0,0.1,0.05,0.0,0.25,0.25,0.0,0.11751610475642714,0.11751610475642714
10497932,0.2,0.2,0.2,0.1,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.18154179253735267,0.34870224750355494,0.34870224750355494
10497935,0.5,0.4,0.3,0.2,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.34519134224686937,0.3776772633684371,0.4498734044011044
10497958,0.1111111111111111,0.0,0.1,0.05,0.0,0.5,0.5,0.0,0.18457569677956817,0.18457569677956817
10516189,0.05263157894736842,0.0,0.0,0.05,0.0,0.0,0.3333333333333333,0.0,0.0,0.10858087310103355
10521475,0.5,0.6,0.3,0.15,0.6,0.6,0.6,0.5296347172140421,0.5296347172140421,0.5296347172140421
10522824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10528870,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10535870,0.5,0.4,0.2,0.1,0.4,0.4,0.4,0.38356636737133565,0.38356636737133565,0.38356636737133565
10552727,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10556494,0.5,0.2,0.1,0.05,0.5,0.5,0.5,0.38685280723454163,0.38685280723454163,0.38685280723454163
10565305,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10565306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10565504,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10566608,0.3333333333333333,0.2,0.1,0.05,0.5,0.5,0.5,0.3065735963827292,0.3065735963827292,0.3065735963827292
10573863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10586169,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10586966,0.3333333333333333,0.2,0.2,0.1,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.23463936301137822,0.37590633587120725,0.37590633587120725
10593952,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10608293,0.08333333333333333,0.0,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.09165402792833294
10608454,0.14285714285714285,0.0,0.2,0.1,0.0,1.0,1.0,0.0,0.39780880120575696,0.39780880120575696
10615413,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10628735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10629862,0.05,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.1395953738647505
10637017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10637038,0.5,0.4,0.4,0.25,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.38356636737133565,0.48523728905546853,0.5511560604528475
10643125,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10644342,0.1111111111111111,0.0,0.1,0.05,0.0,0.5,0.5,0.0,0.18457569677956817,0.18457569677956817
10644363,0.5,0.2,0.1,0.05,0.25,0.25,0.25,0.24630238874073,0.24630238874073,0.24630238874073
10671675,0.16666666666666666,0.0,0.1,0.05,0.0,0.5,0.5,0.0,0.21840743681816419,0.21840743681816419
10673070,0.5,0.2,0.1,0.05,0.5,0.5,0.5,0.38685280723454163,0.38685280723454163,0.38685280723454163
10686167,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10693122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10699196,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
